,relative_id,date_added,source,title,link
0,7861,22/06/2022,Natixis,Stage - 6 mois - Analyste investissement - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7861
1,8085,22/06/2022,Natixis,Stage 6 mois - Analyste Risques - F/H,https://recrutement.natixis.com/fr/jobs/job?reference=8085
2,4890,21/06/2022,Natixis,Stage 6 mois - Règlementation Bancaire (H/F),https://recrutement.natixis.com/fr/jobs/job?reference=4890
3,7139,17/06/2022,Natixis,Stage-6 mois-Analyste Investissement–Capital Naturel- H/F Mirova,https://recrutement.natixis.com/fr/jobs/job?reference=7139
4,7773,15/06/2022,Natixis,Stage - 6 mois - consultant junior (H/F),https://recrutement.natixis.com/fr/jobs/job?reference=7773
5,8027,09/06/2022,Natixis,Stage - 6 mois - Fund Controller Junior H/F - Paris,https://recrutement.natixis.com/fr/jobs/job?reference=8027
6,8028,09/06/2022,Natixis,Stage-6 mois-Chargé de Projet Business Management H/F,https://recrutement.natixis.com/fr/jobs/job?reference=8028
7,7924,09/06/2022,Natixis,Stage - 6 mois - Analyste Stratégie CIB (H/F),https://recrutement.natixis.com/fr/jobs/job?reference=7924
8,7869,06/06/2022,Natixis,Stage - 6 mois - Assistant Stratégie - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7869
9,7727,06/06/2022,Natixis,Stage - 6 mois - Market risk cross functional - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7727
10,8027,09/06/2022,Natixis,Stage - 6 mois - Fund Controller Junior H/F - Paris,https://recrutement.natixis.com/fr/jobs/job?reference=8027
11,6277,06/06/2022,Natixis,Stage-6mois-Juriste Financier-Derivatives & Structured Finance-H/F,https://recrutement.natixis.com/fr/jobs/job?reference=6277
12,8009,06/06/2022,Natixis,Stage - 6 mois -Produits Structurés (H/F) - Paris,https://recrutement.natixis.com/fr/jobs/job?reference=8009
13,7946,06/06/2022,Natixis,Stage - 6 mois - Stagiaire Financements - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7946
14,7943,06/06/2022,Natixis,Stage - 6 mois - Investment Specialist Junior - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7943
15,7830,01/06/2022,Natixis,"Stage - 6 mois - Gestionnaire Back Office Dérives, Change, Money Market H/F",https://recrutement.natixis.com/fr/jobs/job?reference=7830
16,7951,31/05/2022,Natixis,Stage - 6 mois - Stratégie GFS - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7951
17,7336,30/05/2022,Natixis,Stage - 6 mois - Inflation Trading H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7336
18,7907,27/05/2022,Natixis,Stage -6 mois - Business Analyst H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7907
19,7915,27/05/2022,Natixis,Stage - 6 mois - Investment Specialist - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7915
20,7776,25/05/2022,Natixis,Stage - 6 mois - Assistant Chargé d'Affaires Coverage - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7776
21,7761,25/05/2022,Natixis,Stage - 6 mois - Product specialist H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7761
22,7450,24/05/2022,Natixis,Stage-6mois-Business Support- MIFID Product Governance Regulatory Controls-H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7450
23,7886,24/05/2022,Natixis,Stage - 6 mois- Sustainability Research Assistant - H/F - MIROVA,https://recrutement.natixis.com/fr/jobs/job?reference=7886
24,7645,21/05/2022,Natixis,Stage - 6 mois - Assistant Chargé d'Affaires - Portfolio Management - Infra & Energy (H/F),https://recrutement.natixis.com/fr/jobs/job?reference=7645
25,7266,20/05/2022,Natixis,Stage-6 mois-Acquisition Strategic Finance/Financements Optimisés-H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7266
26,4213,20/05/2022,Natixis,Stage - 6 mois - Business Analyste - H/F,https://recrutement.natixis.com/fr/jobs/job?reference=4213
27,7345,19/05/2022,Natixis,Stage - 6 mois - Asset Management Bureaux H/F,https://recrutement.natixis.com/fr/jobs/job?reference=7345
28,7740,18/05/2022,Natixis,Stage - 6 mois - Chargé de Conformité (H/F) - Paris,https://recrutement.natixis.com/fr/jobs/job?reference=7740
